"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"237744900","2021-12-12T00:00:00.000","04:01:00","QUEENS",,"114","0",,,"false",,,,"25-44","M","ASIAN / PACIFIC ISLANDER","1009052","219375","40.76878352000005","-73.91046181299998","POINT (-73.91046181299998 40.76878352000005)"
"237744901","2021-12-12T00:00:00.000","03:53:00","BRONX",,"44","0",,,"false",,,,"25-44","M","BLACK","1005993","241333","40.82906028200006","-73.92143424399995","POINT (-73.92143424399995 40.82906028200006)"
"237712312","2021-12-12T00:00:00.000","03:06:00","BROOKLYN",,"73","0",,"MULTI DWELL - APT BUILD","true",,,,"25-44","M","BLACK","1008750","188249","40.683351094000045","-73.91166539899997","POINT (-73.91166539899997 40.683351094000045)"
"237740431","2021-12-12T00:00:00.000","15:45:00","BRONX",,"44","0",,,"false","25-44","M","BLACK","25-44","M","BLACK HISPANIC","1006834","245208","40.839693926000045","-73.91838228899996","POINT (-73.91838228899996 40.839693926000045)"
"237712917","2021-12-12T00:00:00.000","02:07:00","BROOKLYN",,"77","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"18-24","M","WHITE HISPANIC","1001173","184695","40.67361389800004","-73.93899358599998","POINT (-73.93899358599998 40.67361389800004)"
"237712311","2021-12-11T00:00:00.000","16:03:00","BROOKLYN",,"60","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"45-64","M","BLACK","984325","147989","40.572879769000046","-73.99973146999997","POINT (-73.99973146999997 40.572879769000046)"
"237712916","2021-12-11T00:00:00.000","22:02:00","BROOKLYN",,"73","0",,,"false","25-44","M","BLACK","25-44","M","BLACK","1011611","179632","40.659690989000076","-73.90138489499998","POINT (-73.90138489499998 40.659690989000076)"
"237712309","2021-12-11T00:00:00.000","13:42:00","BROOKLYN",,"81","0",,,"false",,,,"25-44","M","BLACK","1001139","192775","40.69579171600003","-73.939095905","POINT (-73.939095905 40.69579171600003)"
"237712310","2021-12-11T00:00:00.000","22:56:00","BRONX",,"42","2",,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","1010810","244029","40.83644685100006","-73.90401760099996","POINT (-73.90401760099996 40.83644685100006)"
"237712311","2021-12-11T00:00:00.000","16:03:00","BROOKLYN",,"60","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"<18","M","BLACK","984325","147989","40.572879769000046","-73.99973146999997","POINT (-73.99973146999997 40.572879769000046)"
"237710988","2021-12-11T00:00:00.000","00:25:00","BROOKLYN",,"84","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"25-44","M","BLACK","989005","194801","40.701367451000074","-73.98285241099995","POINT (-73.98285241099995 40.701367451000074)"
"237712310","2021-12-11T00:00:00.000","22:56:00","BRONX",,"42","2",,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","25-44","M","BLACK HISPANIC","1010810","244029","40.83644685100006","-73.90401760099996","POINT (-73.90401760099996 40.83644685100006)"
"237710986","2021-12-11T00:00:00.000","07:45:00","QUEENS",,"115","0",,"PVT HOUSE","true","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1019626","218912","40.76747671700008","-73.87229027099994","POINT (-73.87229027099994 40.76747671700008)"
"237712310","2021-12-11T00:00:00.000","22:56:00","BRONX",,"42","2",,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","1010810","244029","40.83644685100006","-73.90401760099996","POINT (-73.90401760099996 40.83644685100006)"
"237712308","2021-12-10T00:00:00.000","23:30:00","BROOKLYN",,"83","0",,,"false",,,,"25-44","M","WHITE HISPANIC","1005987","195005","40.70190196600004","-73.92160573599993","POINT (-73.92160573599993 40.70190196600004)"
"237712307","2021-12-10T00:00:00.000","23:31:00","MANHATTAN",,"30","0",,,"false",,,,"45-64","M","BLACK","999327","240977","40.82809705700004","-73.94552228399994","POINT (-73.94552228399994 40.82809705700004)"
